,met_PARP11,met_TTC31,met_RAPGEFL1,met_THBS1,met_MMP23A,met_HIST1H4F,met_TUBB8,met_SNX25,met_TYRP1,met_HOMEZ,met_SFRS14,met_C12orf53,met_FREM1,met_MIR487B,met_NADK,met_CACNA2D3,met_TMEM177,met_RWDD2A,met_SLC2A11,met_ASXL1,met_LOC541471,met_ZMYND15,met_MIR369,met_LCN6,met_DEFA6,met_NAA30,met_SLC41A2,met_CYTH4,met_TMEM72,met_SNORD65,met_EGLN2,met_TBC1D9,met_ZNF652,met_GYS2,met_GPIHBP1,met_POLR3B,met_HRASLS5,met_CCDC52,met_PDCD4,met_TBCEL,met_PITPNC1,met_C14orf129,met_FA2H,met_C5orf37,met_LCE3E,met_IBSP,met_AP4M1,met_LOC284441,met_XKR7,met_CC2D2B,met_ITPK1,met_FAM186B,met_OR52E8,met_KIAA1009,met_OR4S2,met_ARFGAP2,met_GTF2H2D,met_ACO1,met_RLF,met_TMPRSS2,met_OR4M1,met_LOC401463,met_TMEM182,met_ARHGAP5,met_LOC100129396,met_ANO2,met_TTBK1,met_AGXT2L2,met_PEX5L,met_IL24,met_UBP1,met_UNKL,met_HIST1H3I,met_ANKRD2,met_SLC38A8,met_GPR113,met_C11orf53,met_PRSS37,met_OCEL1,met_C11orf30,met_BHLHE22,met_CCDC92,met_DTWD1,met_LGALS3BP,met_SPDYE6,met_CYFIP1,met_MIR604,met_SNORD25,met_ZNF204P,met_KIAA1310,met_GALC,met_TSPAN10,met_KCTD9,met_BOP1,met_SNORA36C,met_TMPRSS3,met_C1orf157,met_TAS2R50,met_SH3BP5L,met_ZC3H7A
TCGA-S9-A7J0-01,0.7949040805631213,0.5469532084577738,0.7672332723051601,0.4701059657416847,0.8624983555859428,0.5944295179097459,0.6857811492707531,0.6980561614740659,0.8894909194925622,0.2593427462489665,0.7968846486275228,0.669677799378618,0.4444551834096742,0.8546328297056165,0.7997608655905629,0.7141904837377542,0.39927429987626467,0.44864248759110203,0.5991645778624011,0.8230148578326105,0.8471851784760607,0.6625248306717438,0.837468693644548,0.7573451944471071,0.8168034364015008,0.3800897389714805,0.8126293632269191,0.6548184360343492,0.7666846359869659,0.7553897614073319,0.6170221456670819,0.8479255122803582,0.5037167958630718,0.8098150795801409,0.669681095848412,0.7774717057614967,0.21271453519133865,0.548578663129733,0.718409740647577,0.5741766210028559,0.738734099528933,0.9245638960235181,0.7003151738022538,0.5656106404183742,0.546339400806628,0.783120618350219,0.5295747988391568,0.7659661645276094,0.7365676437473481,0.8558283559449431,0.7967636822722248,0.7916285052633936,0.7862491684357221,0.5361099478979067,0.3184483561984616,0.597486650278132,0.2988354574139203,0.8264864869294538,0.5146952677842181,0.4736829692110796,0.8628499523564974,0.35208350969256097,0.7796704616598891,0.5312516124198474,0.8514639045858475,0.7051836638968446,0.7229428282519837,0.5877545408979619,0.7553151357432606,0.8042225013270651,0.7511498955456856,0.7835254786193158,0.4085732202378132,0.8140808894403618,0.7933068238244356,0.8222470940622736,0.8000671475682181,0.8515137124098371,0.27728782363230714,0.6592806972243045,0.3529898446960693,0.7307902066384242,0.36271128797314667,0.5209013146974216,0.7660005045916913,0.6973902400179568,0.9444477635597034,0.22546519418931876,0.5533463198616536,0.5617509977599209,0.5078237426527589,0.6613249656593929,0.594140901752188,0.810798169759303,0.8933973976957293,0.8545495027924636,0.9340587300593955,0.8720191341342416,0.5574149139929477,0.7051546417743341
TCGA-QH-A6X4-01,0.7053743765111318,0.48792350180120414,0.5321386825118328,0.46444676049997907,0.7228101061101426,0.5171291228392274,0.7717323052568874,0.6451220754901974,0.8834881650486168,0.26228003255784516,0.6196093047988896,0.5349036250708603,0.43498040863457477,0.8542786624539576,0.722306530952713,0.6878414875867862,0.3543326194262456,0.36761720189425995,0.5315543003507561,0.6881385730053172,0.7594711357506467,0.5774605866950256,0.8730223631800648,0.8497003263943245,0.8115275766270774,0.31656321255799685,0.7733941471201203,0.6729759430928425,0.7109627178116629,0.6254971750673578,0.5404186181793352,0.7924730761761886,0.3980360329359326,0.7862751152814699,0.6633473888134754,0.7626235769134075,0.3050282742824991,0.4706923966036956,0.6204261781964052,0.4982162088883265,0.5433002358852056,0.8144798767510848,0.5713756855174024,0.5355538828815772,0.6578420560337889,0.7438079489063584,0.4575682390055127,0.8245885753313802,0.6867117784076626,0.8313966544163716,0.6272901120506847,0.7525208113404,0.8892506353563615,0.4245990000985843,0.4316747130892545,0.44467025808552485,0.2364199208609248,0.760136753267362,0.45189864611204467,0.5266820824596198,0.8103216117488404,0.4206495232072679,0.7376028688923716,0.5311357707598533,0.7978727582537849,0.7955055430023487,0.5797657373451406,0.46457812766933054,0.6386801075518568,0.8252892687673188,0.708804261743225,0.7055620210366994,0.38753810551225515,0.6505185479462017,0.6651225255331268,0.7256287323363576,0.7245873239748232,0.8211628415776094,0.24355512245449953,0.5956870537890038,0.42529690797755454,0.673298048019727,0.35204618125118214,0.42583127135718907,0.7644852694717843,0.6117753058548991,0.9325496700162825,0.17429821911389745,0.4241855631142449,0.46569274312431774,0.4417974020643142,0.6922621721111517,0.4393106754829899,0.7368999732847432,0.8435263811794274,0.8030671665328618,0.8824658940047303,0.7726490993627887,0.44695284942948765,0.5458622527884168
TCGA-HT-A614-01,0.7099702811525885,0.4898783461333815,0.6063383726260333,0.44497617689345254,0.7477598357829968,0.525422357225933,0.6991256832588574,0.6371049532128571,0.8444400365110487,0.248695601475615,0.6652836862313805,0.56662286928645,0.41850743085143577,0.8142207526085946,0.72100788499494,0.6665908279833707,0.3566277761984734,0.3845198185914948,0.5350779125544141,0.7126887775350992,0.76075444368638,0.5861917770093137,0.8169237531393367,0.7707206252795713,0.7755594813429074,0.32848162327566105,0.7535567957396778,0.6336365026193747,0.7010236290088985,0.6508917846975841,0.5473215277715016,0.7785838643772753,0.4239152804752535,0.7592057510800475,0.6348001029480262,0.7329981319306377,0.2517015451295425,0.4814185447198192,0.6325890493513189,0.5068339227585477,0.6002318026019619,0.8226176432859845,0.5989152227134311,0.5230360146156718,0.5798092071937879,0.725395796492231,0.4664299668473726,0.7610310665306366,0.675437725672338,0.8025800502047068,0.6693094666753041,0.7336120494185258,0.8039151066837416,0.45168925215053657,0.36355897962764544,0.48825295074080555,0.2516413454223786,0.7523697800217698,0.4571392388368607,0.4795196982416621,0.7943579336723597,0.37190608586767315,0.7206457565508272,0.5061862731262249,0.7829436610175509,0.7199349085534588,0.612920799674769,0.4947113066094697,0.6578575656710597,0.7775529139550856,0.6933199578526823,0.7052663975438008,0.37817824698757974,0.6889492065489676,0.6879309764842634,0.7322638270589262,0.7223477895867821,0.795326681456395,0.24633224945117285,0.5944965741658387,0.37475545119548126,0.6658789898651494,0.3399790794018204,0.4459229897456974,0.7291437147393637,0.6191239160443279,0.8936811362216073,0.18769487388729464,0.45874614923836715,0.4843255180501806,0.4488768466406124,0.6466200510867227,0.483995762907388,0.733413247934026,0.8248780990378147,0.7870033544490348,0.862711754327711,0.7782327567627334,0.4725482101626206,0.5874160950069868
TCGA-HT-7605-01,0.6881072010440674,0.47645669849767175,0.49153588708961277,0.461848105196626,0.697225101415498,0.5025504356541933,0.783108072087058,0.6340942039049766,0.8793287143663593,0.2618219404580386,0.5882085716207593,0.5108019300837631,0.43185955257349723,0.8511537274415151,0.706965972751589,0.6810357155157878,0.3456640220728868,0.35296217149358766,0.5185186581564397,0.6634699975211179,0.7423085933734485,0.5613875279137754,0.8757399592642883,0.8618501926724007,0.807746080764254,0.30497144983323937,0.7641604109838285,0.6735485443791929,0.6992396653773416,0.6018736980153457,0.5258710200689992,0.780501774237832,0.3792139364143842,0.7795783099261878,0.6599237189060663,0.7574422021901396,0.31912656342359386,0.4561839811357882,0.6020725847424343,0.4839259525925039,0.5091848510091082,0.7934381510250235,0.5481033546263859,0.5286845507804598,0.673832000252514,0.7346676722708954,0.4440746351919093,0.8312767570704309,0.6760412327791067,0.8243911093974177,0.5971458453109622,0.7433829931919205,0.9030107307787058,0.40472200042799256,0.44876023291436873,0.4179230374319525,0.2252987023025977,0.7464880216402177,0.43994119312899993,0.5335141747673973,0.7987674942103171,0.43042429142520167,0.7280314536340045,0.5292100616218378,0.7861884093038652,0.80751531622788,0.5541200222156261,0.4426376767614919,0.6171912745895947,0.8257939181333477,0.6992904654252573,0.6901977784712234,0.3826849209787128,0.6212637841985654,0.6416379584754472,0.7071221769298167,0.7095635490743847,0.8132198392610539,0.23712899482467642,0.5830822604935779,0.4356707061111402,0.6614188509361231,0.3490271298731907,0.40865574003714533,0.7614915781857519,0.5954884316853383,0.9272438288311743,0.1652513227891484,0.40140519066605224,0.4482114764746069,0.4293446534653431,0.6948688608062442,0.41225125170848054,0.7220923078691107,0.8322904170165933,0.7917112450638308,0.8708067647333073,0.753520874330536,0.4271682333274444,0.5176859399769853
TCGA-DU-7008-01,0.8352270694586406,0.5742462329667044,0.8322787668738691,0.4856434537607031,0.9137262321093421,0.6264017631391182,0.6918930159775659,0.7289525452690444,0.9180627434734382,0.26684955896350515,0.8526874871082506,0.7140771401372134,0.45986961468209625,0.8811337299171665,0.8381122302540602,0.7409144877294642,0.41952323932365027,0.47675924293253025,0.6295805673681546,0.8721757308533173,0.8888064735613632,0.6979679082371171,0.857128918762025,0.7645456446191271,0.84299889285679,0.40301090180092813,0.8446629971914185,0.6718850841848261,0.8001939649856223,0.801582873918682,0.6495708567888235,0.8839007316638791,0.5378697502922051,0.8390036971720696,0.6915111033647934,0.8041324374338612,0.2030737272645284,0.5792354287608907,0.7578518273185251,0.6052868681403267,0.7959288075842585,0.9725097867693511,0.7446370378277687,0.5883897469585999,0.5436476543378691,0.8142549886114601,0.5586104901956451,0.7793607917330739,0.7681145053027089,0.886597121736046,0.8511918584287504,0.8229900548751464,0.7924730195959172,0.572289481686789,0.308403753157103,0.6428230683347878,0.31904773995882185,0.8637133376527361,0.5416522889419991,0.4790237311053501,0.8987730505215207,0.35092710625641244,0.8111821913763761,0.5477066094144694,0.8872215225719005,0.7111277417508453,0.7704665124676395,0.6275815807617109,0.799176334306509,0.8253998566416054,0.781828178639443,0.8214640527880478,0.4249089896045954,0.8680060701326721,0.8403727485372495,0.8646615703670675,0.8380810281003377,0.8831891124054639,0.2917933947956759,0.6908506219941535,0.3512041057068482,0.7635001812240166,0.3758060784639263,0.5537213788474068,0.7899635233602016,0.7340086702357553,0.9757556393843761,0.24143112976696532,0.5931604803435693,0.5960084230568575,0.5351357114565892,0.6763472613989397,0.6397276857150941,0.8488660999986539,0.9297985600871509,0.8900320178490579,0.9720203357707271,0.9164568647614193,0.594069223105554,0.7549598006187249
TCGA-HT-7881-01,0.6317122525936876,0.4379792402697265,0.4182420361726732,0.434495284360902,0.6306372378802843,0.4590652470769884,0.7551575752755132,0.5878289796869297,0.8281711374394803,0.24750093938580026,0.5205698223032665,0.45576214672905674,0.40547598218412817,0.8026877029838906,0.6518277580396152,0.6372290036403855,0.31734087093300467,0.3172643192251011,0.4759945020948425,0.5997296134602715,0.6831818832862628,0.513059312896615,0.832801746543086,0.8306574994050235,0.7607989876454752,0.2753775312454061,0.7131416572200713,0.6387518699127409,0.6487324747108335,0.5425970038129978,0.4811942027181646,0.7254258908917728,0.33726788545286185,0.7307101366156714,0.6211779634791786,0.7115091771737986,0.31878586138460907,0.4152222482963217,0.5489391172026182,0.4417582291502404,0.44253712220481156,0.7270894802943795,0.4920679436910319,0.49282558119861497,0.6570233953165874,0.6853109751689431,0.40493551924739063,0.7953162233627018,0.6279845654468754,0.7728028256040423,0.5305036982188582,0.6935702667345691,0.8715310349417223,0.3602010155972099,0.44508196629533997,0.36468452981949523,0.20044936533057206,0.6912443602393493,0.40281350077838285,0.5134002026317046,0.7432169906423335,0.4191746510153616,0.6785207376274486,0.4990961424985396,0.7311481775398782,0.7790200061515705,0.49499638121760847,0.3937107501563771,0.5596006888236521,0.7829015038376635,0.6513603716924657,0.6359148267981327,0.35686775391329056,0.554390403125369,0.5804297069268856,0.6482787688877168,0.6546584717086295,0.7611250933810656,0.21713924811276103,0.537661652308403,0.4248443123668699,0.6127207615062307,0.3271239309563122,0.36708215965703506,0.7178999167650213,0.5451149789086884,0.8722246570665753,0.14598595373441636,0.35366855136287795,0.4041981014023014,0.3921965538108856,0.6613248028966522,0.35894682578313003,0.6667798893279704,0.7753462945043698,0.7367637198435386,0.811340451940397,0.6915084396389164,0.3815732324238616,0.45752570866699016
TCGA-S9-A6U1-01,0.7295614831428053,0.5024420128369266,0.678201869327942,0.43972012413372236,0.7841699149283352,0.5437589318566439,0.6579056743911319,0.6451603374614339,0.8328192669791857,0.24363792853782779,0.7160956740552442,0.6042653165801795,0.4150070965275489,0.8011273737941644,0.7362232073704044,0.6649281197384486,0.3664581694373518,0.4064380911841038,0.5498900199377935,0.7479957643820756,0.7788902935177003,0.6062402153252012,0.791306962072129,0.7261128236063036,0.7648041564835372,0.3452279294376063,0.7549609746647936,0.6170407623728792,0.7090103755712651,0.685469810813657,0.5650604422621422,0.7852179930048592,0.45376293623886776,0.7550634523982185,0.6266972385509242,0.7262604451463972,0.21553286999807103,0.5006730070310251,0.6563743908766025,0.5250065232498086,0.6584105919035103,0.847523867955162,0.6340056916077386,0.5249921030166862,0.5316456899314034,0.72728400441339,0.48388427028914616,0.7283041358229531,0.6818010749319182,0.7980436154978353,0.7173446517658196,0.7352956528379379,0.7550684256776746,0.4831123227153449,0.3183065842540748,0.5334379584599116,0.26924880902260456,0.7632167022950004,0.47154349519437283,0.4533166133344849,0.7997197663817259,0.3420396141250154,0.7235685231596225,0.49801009511874017,0.7888601419799369,0.6768581067941754,0.6527321163651219,0.5294902985329675,0.6877149441135609,0.7576100214611131,0.6967829094055487,0.7209141788365535,0.37935025933654243,0.7346111891011101,0.7213140763060993,0.7539567764680556,0.7368551339958812,0.7929651528586513,0.2540573561354109,0.6069482399380871,0.34354255071613804,0.6750514414143742,0.33816711294963614,0.47172572825561854,0.7178348318232244,0.6388291872408997,0.8833099700482171,0.20243095447348877,0.49618874917498185,0.5098483514785399,0.4645376864885274,0.6253720592255385,0.5299497685299257,0.7471912930307754,0.8288209912246023,0.7921210349512184,0.8666389362171634,0.8001358626822044,0.5032681645940003,0.6332421730794314
TCGA-DU-5849-01,0.7221944980806955,0.4996383879165845,0.5402043100769062,0.47699234567957033,0.7387229512782562,0.5291385534995888,0.7952095369510015,0.661304255226284,0.9074842679652222,0.26953395399496466,0.631662595960913,0.5458131823060722,0.4466148546890501,0.8776318113368278,0.7399229316705881,0.7059255713455015,0.36278280014229325,0.3754349741247077,0.5442256286794707,0.7032360014673721,0.7778208050688592,0.5909057287103049,0.897878983848966,0.875486553410644,0.8335757506298161,0.323467627107863,0.7934623443268055,0.6918816264874501,0.7288685864019684,0.6390190023326541,0.553084202799485,0.812615536745223,0.40600534228079804,0.807128688913577,0.6813139211061973,0.7830701740080027,0.31591759819006826,0.48141570278270107,0.634689843736618,0.509745383214121,0.5527655376286991,0.833716638932556,0.5834436918432669,0.5493708711327773,0.678909689077825,0.7630648816804221,0.46809487289892804,0.8487571980121037,0.7041163012873269,0.8534596104285853,0.6397687466607562,0.772021680831607,0.9164122718974554,0.43313387455105695,0.44660465779954994,0.45261423173823995,0.2411632238809164,0.779094168082097,0.462524372909372,0.5425483469885004,0.8310328859429056,0.4340455599932368,0.756614083010494,0.5456581430741198,0.8182142517863983,0.819753537116271,0.5916703132380393,0.47388445117187644,0.6529283019301131,0.848440716679028,0.7270202154086645,0.7227064416530601,0.3975560890667097,0.6637955554847238,0.6797751716752093,0.7428071631012603,0.7423205861890132,0.8427825841553346,0.24928505465960935,0.6102231307425988,0.4389232752529046,0.6901250091199496,0.36137968458155273,0.4348535282589249,0.7853506978272489,0.6261436950539169,0.9577248330148745,0.17765301078828788,0.43222208932224504,0.4757778672368848,0.4520577555628919,0.7120479499742253,0.44705250340048863,0.7550136079614757,0.8652190717624931,0.8236089094280967,0.9051759942344034,0.7910375174895758,0.45612800344812715,0.5563949347322741
TCGA-HT-7611-01,0.8386943557492527,0.5775938143380958,0.7800543486655471,0.5053685498498319,0.9015866245860862,0.6251261760755573,0.7558781776919155,0.7415983893504949,0.9571433026705037,0.27999599150434107,0.8234510749368515,0.694816116978962,0.47697691874469966,0.9207060548300617,0.8463184305591815,0.7642463166995346,0.4212754501655186,0.4673184427362804,0.6321467301291632,0.8600003058385802,0.8953812648021919,0.6969540989712835,0.9093247017797423,0.8342490855350354,0.878974206178131,0.39692558136580913,0.8677517796101447,0.7090932958335587,0.8149861870329076,0.7881284106004088,0.6496053428631285,0.9025679794453025,0.5217723994473368,0.867827972796808,0.7202559985933406,0.8347027489991551,0.2474591402366375,0.5756107191173242,0.7546056200516662,0.6035711985861846,0.7572039178686609,0.9743184761181158,0.7289801374787971,0.603433015952663,0.6107047039542333,0.8359438991542466,0.5563004879222787,0.83685684326661,0.783700035612297,0.9172257963864876,0.8248658085469971,0.8451508379025114,0.8674984491912274,0.555517974823524,0.36551764514482216,0.6134647355884155,0.3096027346487065,0.8773116052945104,0.542093306698873,0.5208390757584992,0.9192265674988028,0.3929114268048627,0.8316811368123508,0.5723443032039782,0.9067488312518249,0.7776479058392353,0.7505394216711503,0.6088493171376824,0.7906735341043403,0.8706364732897052,0.8008981897670706,0.8287256971087267,0.43602850273356475,0.8446939206570897,0.8293183313008848,0.8667497149365637,0.8470394487502941,0.9114049944166607,0.2920677897632839,0.697710923764919,0.39462878351514624,0.7759631698118272,0.38867081161277833,0.5423882403901596,0.8249841910641429,0.7344088195846512,1.0151859589808474,0.2327817242545401,0.570592971367515,0.5862037343656321,0.5340503544377105,0.7186342808016541,0.6094612271639172,0.8589142117437935,0.9526644546928508,0.9104908643415772,0.9961317371135713,0.919828866203337,0.5786795359208019,0.7281830670319432
TCGA-R8-A6MO-01,0.6901769832679537,0.4774682841042571,0.5173708991214517,0.45549064734353795,0.7062919622430677,0.5057575869423047,0.7587302979871147,0.6317934475247562,0.8665453841806487,0.25734327678866725,0.6043155244427358,0.522060690358512,0.4265102175871265,0.8380034685998379,0.7070247230478692,0.6742233862487269,0.346699102887194,0.35901942918300855,0.520099072941021,0.6723755393882729,0.7432793563337317,0.5647871058284426,0.8570980392797941,0.8353397915890476,0.7959694851894692,0.3092826050701542,0.7578928366855562,0.6605182355202882,0.6963253189537836,0.6110252730538841,0.5286173119635508,0.7762887700018609,0.3883729825363394,0.7708378924162904,0.6505902724685171,0.7478080876385956,0.30103923074356526,0.4601936166691078,0.606679830508602,0.4872312492427469,0.5291016873467643,0.7967996001659933,0.5579532180220692,0.5247627403220514,0.6475125529075915,0.7288685280670709,0.4474352851910757,0.8100413143033244,0.6726518262293566,0.8150825945632119,0.6120038519038429,0.7374195100342107,0.8743467945734182,0.414315181601165,0.4256861407527279,0.43319001112546973,0.2306873990152331,0.7443534286410297,0.4420552045960239,0.5176970732774705,0.7938550514311546,0.41399056746018403,0.7227273080628791,0.5210189544297511,0.78162231425577,0.7821369719321782,0.5659028466435321,0.4533030300033338,0.6242184912578125,0.8099883726655593,0.6944716382859418,0.6905890466798542,0.37974349264803586,0.6349064650101753,0.649929702972842,0.7099059003989586,0.709301003724274,0.8049269885845255,0.23825211548902883,0.5830897078751837,0.41862319413395704,0.6593430108473206,0.34513186089992015,0.4158480672744295,0.7498971437310812,0.5984375072725087,0.9145563922384027,0.16997042429305498,0.41356170720760654,0.4549309689659859,0.4320826569442418,0.6796891043823314,0.42789279579157224,0.7214103574153101,0.8264798760888646,0.7867593728700439,0.8646439151176554,0.7559766078528468,0.43626401720525937,0.5323273309311831
