,protein_ACACA_-_ACC1,protein_MAPK1 MAPK3_-_MAPK_pT202_Y204,protein_ANXA1_-_Annexin-1,protein_BAD_-_Bad_pS112,protein_MYH11_-_MYH11,protein_STAT3_-_STAT3_pY705,protein_GSK3A GSK3B_-_GSK3-alpha-beta,protein_YWHAE_-_14-3-3_epsilon,protein_PRKAA1_-_AMPK_alpha,protein_MYC_-_c-Myc,protein_C12ORF5_-_TIGAR,protein_MYH9_-_Myosin-IIa_pS1943,protein_AKT1 AKT2 AKT3_-_Akt_pT308,protein_FRAP1_-_mTOR_pS2448,protein_PRDX1_-_PRDX1,protein_WWTR1_-_TAZ,protein_MSH6_-_MSH6,protein_RAD51_-_Rad51,protein_ERBB2_-_HER2,protein_YWHAB_-_14-3-3_beta,protein_MYH9_-_Myosin-Iia_pS1943,protein_SRC_-_Src,protein_ARHI_-_ARHI,protein_RAF1_-_C-Raf,protein_ESR1_-_ER-alpha_pS118,protein_AR_-_AR,protein_PECAM1_-_CD31,protein_NRG1_-_Heregulin,protein_SRC_-_Src_pY416,protein_YBX1_-_YB-1,protein_RPTOR_-_Raptor,protein_PDK1_-_PDK1_pS241,protein_SRC_-_Src_pY527,protein_GAPDH_-_GAPDH,protein_ITGA2_-_CD49b,protein_PXN_-_Paxillin,protein_TFRC_-_TFRC,protein_EIF4EBP1_-_4E-BP1_pT70,protein_RICTOR_-_Rictor,protein_IRS1_-_IRS1,protein_YAP1_-_YAP,protein_DIRAS3_-_Di-Ras3,protein_AKT1S1_-_PRAS40_pT246,protein_ETS1_-_ETS-1,protein_SCD1_-_SCD1,protein_TSC1_-_TSC1,protein_SMAD4_-_Smad4,protein_COL6A1_-_Collagen_VI,protein_MAPK14_-_p38,protein_CCND1_-_Cyclin_D1,protein_ARAF_-_A-Raf_pS299,protein_AKT1 AKT2 AKT3_-_Akt_pS473,protein_FASN_-_FASN,protein_TTF1_-_TTF1,protein_ERCC1_-_ERCC1,protein_ACACA ACACB_-_ACC_pS79,protein_MAPK1_-_ERK2,protein_EEF2_-_eEF2,protein_RAB25_-_Rab25,protein_BCL2L1_-_Bcl-xL,protein_EGFR_-_EGFR_pY1173,protein_INPP4B_-_INPP4B,protein_SYK_-_Syk,protein_YAP1_-_YAP_pS127,protein_CAV1_-_Caveolin-1,protein_ERBB2_-_HER2_pY1248,protein_MAPK8_-_JNK_pT183_pY185,protein_CDH2_-_N-Cadherin,protein_MAPK14_-_p38_pT180_Y182,protein_TSC2_-_Tuberin,protein_BRAF_-_B-Raf,protein_TUBA1B_-_Acetyl-a-Tubulin(Lys40),protein_XRCC5_-_Ku80,protein_BAX_-_Bax,protein_PIK3CA _-_PI3K-p110-alpha,protein_HSPA1A_-_HSP70,protein_PDK1_-_PDK1,protein_ADAR_-_ADAR1,protein_PEA15_-_PEA15_pS116,protein_YBX1_-_YB-1_pS102,protein_LCK_-_Lck,protein_COPS5_-_JAB1,protein_DVL3_-_Dvl3,protein_MSH2_-_MSH2,protein_RPS6_-_S6_pS235_S236,protein_BIRC2 _-_cIAP,protein_PARK7_-_DJ-1,protein_RPS6_-_S6,protein_CDH3_-_P-Cadherin,protein_ESR1_-_ER-alpha,protein_CDC2_-_CDK1,protein_NRAS_-_N-Ras,protein_ACVRL1_-_ACVRL1,protein_VHL_-_VHL,protein_PARP1_-_PARP1
TCGA-S9-A7J0-01,0.685346980684013,0.47474096216253475,0.17545622594696722,0.2608506814618323,0.38214166097307006,0.3433578351148526,0.5169067201235804,0.5344832736896971,0.40960073424609506,0.3830769309160365,0.18153567316116928,0.10887448956917484,0.41132604793211497,0.4270189550951025,0.3464043778617571,0.18232541894337678,0.286229322763962,0.3309604697641838,0.24576021795275374,0.27311863456773133,0.6624594683152564,0.526698240139641,0.5335951386713426,0.4340787591652811,0.3448801344277554,0.39724453738846766,0.5243018844576864,0.6232701583903324,0.2502784392325172,0.3129702260311466,0.5324868272986572,0.7092658006807595,0.6208879212883993,0.27977654296459753,0.3668778369704775,0.40822017372066477,0.27157767744788097,0.38832058284930254,0.654132828656576,0.5631053132234742,0.2562767629609861,0.36450653407785355,0.3903059911131739,0.26076427371994143,0.7064816622861687,0.682633032867101,0.4968446922934807,0.290637448211335,0.46307868324652696,0.4588161808620401,0.46918127566258744,0.4237048070366025,0.6254014092774063,0.25857131281421275,0.35214729920241383,0.505392221363821,0.3766811890235926,0.33796697589166724,0.655456342849928,0.3566607774927002,0.07954543588237034,0.6626863708527982,0.42812532549613985,0.3858352400366553,0.32703890161976157,0.08950940568980774,0.18350668652089414,0.1925022291464211,0.5388027252310811,0.7185756479453762,0.47242232473359225,0.5909756216318878,0.6165263547623695,0.29277066791730993,0.650260372098498,0.21060219711082595,0.48808435027545966,0.5013012082451012,0.2981248146709553,0.3743062320076441,0.29873701667042785,0.6043221072919526,0.4064068913325184,0.4937149267779097,0.31175608528937093,0.6546137360715066,0.4387261150122921,0.6202794646382758,0.6029839846357302,0.5055531041404081,0.19191428763097582,0.6947701185971495,0.3140202333237231,0.10979261589179877,0.6691523227074515
TCGA-QH-A6X4-01,0.646112050262347,0.4582757390537973,0.1794065137023668,0.2555759531147684,0.3601891839672589,0.3323849948046469,0.48650232814988764,0.5002016789207188,0.39580103789063015,0.37107699533660526,0.17894095196448043,0.12803783214277095,0.39692965983153844,0.4128527060165709,0.33544866393557293,0.1832328237551386,0.26922368074887626,0.32462010601750674,0.24161874669795166,0.26651783476067586,0.627226177056167,0.49741834003992424,0.5028926036234077,0.40934250708416847,0.32475447680444064,0.38578035975231256,0.4952173415241537,0.587148259611473,0.24280864464775445,0.2950743963492129,0.5049473130900219,0.6735063722455116,0.596452978726901,0.2715289915845845,0.3591968510894682,0.3972780426046395,0.2643874612180287,0.3767072922102649,0.6194498436996392,0.5291106035892575,0.24903280805838146,0.3535685532202923,0.37960088419707716,0.26182858461250513,0.6679204911019135,0.6480398148873228,0.4707698102001545,0.2820896662025151,0.4370196245365089,0.4427318207985391,0.4397825490396848,0.4096051358517848,0.5894522199344238,0.25145561785503534,0.32926727084889224,0.4770067226762546,0.36724968245377804,0.32792874765380386,0.620330972158688,0.3463169819594554,0.07984190601290196,0.6265539187570004,0.413878734562178,0.3733931198999705,0.31794366163029514,0.09025916523509762,0.181753150197726,0.18993061054448587,0.5192741908151484,0.6802970883257425,0.44618875174188094,0.5556202543368333,0.584985099130677,0.28846437224469684,0.611480577746445,0.20624232666608103,0.4616400250579995,0.4706711549459949,0.29596031973365505,0.3620550962087944,0.290180949800956,0.5713145746546308,0.38437548209445704,0.4637625711082039,0.30162008485098946,0.6217213305766615,0.4231790664906622,0.5879244095983723,0.5708689615272965,0.47554801871123464,0.18940095648554175,0.6562400075059925,0.30387463903957,0.11150025180711036,0.6318905498894237
TCGA-HT-A614-01,0.655000760853476,0.4549879293192457,0.1693435227049659,0.25044363524575525,0.3652120163911596,0.32918213011455744,0.4939226602620934,0.5103811753406692,0.39260614188510823,0.3672900694131676,0.17442038401773002,0.10705925754367743,0.39419613338463827,0.40932773910662135,0.33211644392724426,0.17559497966315155,0.2734821655643227,0.31779795073470885,0.23605323406668768,0.26209456073204757,0.6334451928784219,0.5034800455616616,0.509949921385642,0.41487184234086816,0.3295641244648152,0.38098974770188043,0.5011966814773495,0.5956204519345573,0.24000810763843936,0.29911484173167757,0.5092575112615895,0.6784338602312421,0.5947106795456278,0.2683078857169758,0.352209634160335,0.39161554296276624,0.26054163879779735,0.37238282490005575,0.6254959581630489,0.5379637423980697,0.2458082012318036,0.3495418058768375,0.37440125486584014,0.2511106778633558,0.6754225571791903,0.6529379306882931,0.475125414163357,0.2787259382142971,0.4426276189005132,0.43970545613365,0.44810610165441145,0.4061457622954825,0.5976922133440036,0.24803187684761077,0.3362327726089277,0.48307892576705774,0.36143815705765864,0.3241040556482661,0.6267174807672475,0.3420606124455854,0.07659729578355548,0.6335571723093112,0.4103831085619195,0.36989260102365223,0.3136974219850344,0.08624122824837147,0.17641702978785248,0.18497839068391408,0.5162846212074415,0.687096423291692,0.45160018845382577,0.5646277881691995,0.5896716719684135,0.281281124388938,0.6212838846439691,0.20218791255644397,0.46664989232172205,0.4788757021261971,0.2866879491523758,0.3588185728583201,0.28652076458917336,0.5777515953339806,0.38855787596841207,0.47165413608305046,0.29886459222213013,0.6261707405959567,0.4204324261489835,0.5931877161869041,0.5765692831833238,0.48304210076253273,0.18441939716915362,0.6641539124242387,0.30104269153310403,0.10587711083817011,0.6396469764548468
TCGA-HT-7605-01,0.6369763804185377,0.45545049486880407,0.18164392025688259,0.255257096912434,0.35507054167416296,0.3306475910635562,0.4793463235575233,0.49187258652942945,0.39349630867582674,0.3692178178632112,0.1790709456030588,0.13489095369082318,0.3944391150515047,0.4105219980064671,0.33373328087413695,0.184512249091482,0.26520567062348765,0.3243306753756215,0.24158912350790826,0.2658314834093506,0.6192756596434809,0.4906828127865374,0.49572905626269287,0.4035935202280708,0.3200323593957122,0.3841727335164798,0.4885327789104705,0.5786959476037231,0.2417150314564511,0.29090942980024953,0.4988120817162581,0.6656360907575092,0.5918093942954034,0.27034004715351917,0.358662634433058,0.39590027976544623,0.26350006853522207,0.37500280797987706,0.6116343938309446,0.5210295898833408,0.24804537329310625,0.35195653692716194,0.3782040719042744,0.26358209208059113,0.6591190497118047,0.6404073305236427,0.4649213988560032,0.2808610868816736,0.43099439315735977,0.4399452842377289,0.4326981575905245,0.40727833562355165,0.5810678700715615,0.25052249066528864,0.3236836590711856,0.47044882300420415,0.36619589432613053,0.32646790069142034,0.6123779982588439,0.3448569732926383,0.08036758910819441,0.6183106038926057,0.41152771841292257,0.3714042175284282,0.31673226557300926,0.09098677580397296,0.1821688299486462,0.19012726684205863,0.515792545618523,0.6716532442285973,0.440156816150842,0.5472445305633383,0.5779942829206695,0.2886342323406561,0.6023046227393475,0.20595179125182483,0.45562359088524584,0.46335724881344437,0.29685939448146226,0.3600665048347849,0.28899331694926766,0.5637785150596725,0.3793618157022096,0.45662937918127394,0.29998599381014635,0.6144939819258094,0.42045994499673595,0.5806877144104848,0.5636175351195095,0.46846139061985426,0.1896135035216705,0.6473855989622369,0.30224961431586783,0.11265040618413572,0.6233128042398118
TCGA-DU-7008-01,0.6852715459882042,0.4625309507692557,0.15955452829917657,0.24986077097453246,0.38218531327669725,0.33346502691884133,0.5177717684611834,0.5386045808152846,0.39860498790165033,0.3717648427213449,0.17266608338917774,0.08004101522526258,0.40089518838567134,0.4153056287471503,0.336293865596827,0.16942996353973244,0.2869008810422841,0.31661720323490156,0.23446628562974148,0.26283525365033955,0.659332190412401,0.5256499044397238,0.5337124659658934,0.4339015977262528,0.34527554355704293,0.3844024096031818,0.5231877970033433,0.6237017621716838,0.24246768813235092,0.3129117471487214,0.5290866551693225,0.7036894842733102,0.6082113455813222,0.2709287223976304,0.351718518697929,0.3940712992228442,0.2620634943673712,0.376228446849362,0.65092291723102,0.5650383310954588,0.24781934390819316,0.3531978158837446,0.37705397207539465,0.24258598025283393,0.7042661595313865,0.677466465315839,0.4941019242890177,0.28142352796436554,0.46251543617640434,0.44721031661658667,0.47201097423470667,0.4121316066554124,0.6254983087698565,0.24981900658264666,0.35519562592357884,0.5047154406316363,0.36287049167513924,0.32736433639075735,0.6526623494026859,0.3451883329657425,0.07403219444640982,0.6605647598460829,0.4164311748278805,0.37484546562531446,0.3160772846734746,0.08283328700014925,0.1735541857308468,0.18289272174485469,0.5259000699214903,0.7152523450850105,0.47144904878152694,0.5926390249379061,0.6121983930171389,0.2786043689960616,0.6519518381942521,0.20184419024130873,0.4863309729895132,0.5034379541154386,0.28117939754175697,0.3638500178386695,0.28900538198938786,0.6024524317487444,0.4049609501560916,0.4955762838926815,0.30297019920723095,0.649340446564632,0.42781792375905536,0.6166308112091059,0.600188508352379,0.506703878966107,0.18227689435199354,0.6932815491879383,0.30509788518536296,0.10070940561699729,0.6678915460512462
TCGA-HT-7881-01,0.6048368018316349,0.5256400207504196,0.29419213031388924,0.326377949952675,0.33649807542339183,0.38948736078395524,0.44809496730574616,0.4350203092279053,0.4575613518282141,0.4369544997022925,0.2378538858773583,0.3489558936750811,0.4541261699437854,0.4792124065784014,0.3940831445897662,0.2738718556381882,0.24643646564255334,0.4176053431793658,0.31574218863150677,0.33099401257378436,0.6114360451988042,0.47351425524745544,0.4693671056482398,0.3842211345857266,0.30056356729267597,0.4628682220340621,0.4719786088228505,0.5456637088192968,0.28916486738079505,0.2764153262098687,0.49925156724536834,0.6741858115492629,0.6585709335378567,0.32426817864939084,0.4564284803138016,0.48400892291865344,0.32288684976961557,0.4484210071473972,0.6048206091847993,0.47945178053392307,0.3001264282217238,0.4205540003818272,0.46034773765121684,0.3893705342234914,0.6422446341040593,0.6471123943249607,0.4620629915418297,0.3370547767285074,0.4131737295554716,0.506300750116883,0.38878482806655634,0.47506135989856313,0.5504791328145959,0.3047364665541485,0.28369409546937574,0.4514717925456026,0.4532383268373445,0.3909628422712166,0.6023382252683327,0.4150739764482499,0.11849568841458122,0.6028126480082088,0.48001949746361683,0.43655823027253976,0.38447864405018733,0.13748227554000766,0.2490925965377566,0.25401339023301633,0.5881914070608493,0.66262572878457,0.4250081894383547,0.506386667859344,0.5814776646073267,0.38238605321403746,0.5584035589678429,0.26249879533945747,0.44565959519783366,0.4231802613154526,0.41148922427474066,0.4217134093220791,0.34873731209005543,0.5491505996574423,0.37095860380043366,0.41890867370052537,0.3519166912255194,0.6233480306416783,0.48246896009508594,0.5788262073950088,0.5560936667072859,0.43557918555337444,0.2537397465889144,0.6255422981599358,0.35510995308182836,0.17648226997264613,0.6009600696198328
TCGA-S9-A6U1-01,0.6691654039178785,0.434814260297353,0.13379797006189956,0.22880047271162224,0.3733214619342058,0.3119724716722159,0.5068798604881374,0.5317375585224959,0.37406330945629757,0.3474116304927516,0.1563459173196574,0.03822497102055453,0.3770826482174098,0.3893798137388574,0.31443363899927057,0.14760777169342093,0.28113192195724207,0.28935221890964224,0.2133442570156293,0.24245084467291117,0.6396036098219212,0.51192315867459,0.5214124081319365,0.42352420629444093,0.33776090215880405,0.35763432350404345,0.5094274483389727,0.6097357941279675,0.22598455597210107,0.30552399175384526,0.5120213323706091,0.6795321320868356,0.5764465063666604,0.25234420599824414,0.32250330092247864,0.36526701890029956,0.2427627833518065,0.3506902971949918,0.6312762160969343,0.5545223183194287,0.2303153272801495,0.32928282732846,0.34988959842153916,0.21173648712140822,0.6847515442261456,0.654489123429548,0.47876431598183555,0.26208674074728916,0.4509349908784673,0.4206883841457129,0.4649095202419557,0.3864740435659622,0.6110266775290518,0.2318597480186456,0.35112479857590256,0.49199229791939286,0.335263298705896,0.3050308090296078,0.6335512601906194,0.32123353929701004,0.0646652238738672,0.6422006880437072,0.3905056441663066,0.35086686454239296,0.2935099774900721,0.07164970832737284,0.1557129744839904,0.1653086447633524,0.49574404448561565,0.6939464040675201,0.4590919265199251,0.5811049795924085,0.5919069494625766,0.25247219222331135,0.639071671094954,0.18499728364716156,0.4725455631382201,0.494642611538194,0.2511367927385374,0.34086738437861475,0.268774290662837,0.585794369956572,0.3935015286243237,0.4865829831703126,0.2837232954729729,0.626872012660706,0.4027154024346337,0.5971770075031314,0.5823006703985468,0.4964662716090177,0.1646685632411314,0.6750305551043294,0.28561223843200223,0.08577352661064429,0.6505490215872336
TCGA-DU-5849-01,0.6574914671540315,0.4821194541976274,0.20317077754274457,0.2742973721353229,0.36642168862705216,0.35102411171219966,0.4938746210283203,0.5035883283677685,0.4169784514249833,0.392233149452964,0.1935732564069095,0.16768353897965657,0.417393865706948,0.43525887938134333,0.3544237353591643,0.20316343908815782,0.27305318896056274,0.34889790392855835,0.2604909177421076,0.2845136172719445,0.6422354576302144,0.507463759819286,0.5115212145650587,0.416719756770583,0.32991188003629807,0.40917839899770103,0.505309640232757,0.596840271044126,0.257182327713528,0.300302464159938,0.5181755912597936,0.6925012483257644,0.6233147052327308,0.2877496999381256,0.38513717073728243,0.4225722816140641,0.2813480478557149,0.3989738305027842,0.6344305574706938,0.5358412247330612,0.2643541904955781,0.37441462593471203,0.4034228403994822,0.28998576872115045,0.6824573358045739,0.6660583980892488,0.4825483755150626,0.29896976809867604,0.4453810630176621,0.46552027623610065,0.44379004206349415,0.43177279761833676,0.599618723166413,0.26720190644780967,0.3310614342145051,0.48621366695445306,0.3915808374248302,0.34741102838666615,0.6347874369323924,0.3672488646847309,0.08838917088454987,0.6402466555930537,0.436277943518588,0.3941715280562942,0.3377173525648851,0.10049710107947467,0.19783958377317054,0.20571481014250637,0.5450816523054531,0.6964873553207972,0.45524228250769394,0.563163563786097,0.6008146535453621,0.3118812599438205,0.6199628352490322,0.2212065575890561,0.4719754901977781,0.47611705711959573,0.32311386725647445,0.38194326556235086,0.3078740410760116,0.583715921536564,0.39296297324767593,0.4694451488399952,0.3182858465120186,0.6394188423638888,0.4447209198923092,0.6029239156169905,0.5844637107782871,0.48235832537212037,0.20521208859220552,0.669629741291123,0.320756819830623,0.12523215959166778,0.6445595756126675
TCGA-HT-7611-01,0.6110451481793089,0.4976503966705954,0.25359902668578393,0.29962873569341975,0.34018742849749395,0.3664234999466995,0.4552260821243847,0.45096417883990464,0.43218760315984034,0.41049254445780486,0.21599441892773133,0.2733942865018227,0.4302688546262678,0.4520956937032974,0.37046956523522867,0.2413273555370625,0.2508966146368173,0.3826054476303899,0.28804440232259265,0.30623600944747875,0.6093248873664966,0.47565511636316976,0.47466837936480744,0.3878096867927867,0.30483872853495264,0.43247507006416414,0.4739224294907756,0.552638232151223,0.2707604172409856,0.27918660227854986,0.49520024419376746,0.6660078655174531,0.6307087708406257,0.3033851818582104,0.41959707244128114,0.4502477763326113,0.3001573728763843,0.41993633289699683,0.6024121198825707,0.48985135200758373,0.2800605636072705,0.3939273434087876,0.4288010606197244,0.3435286685708288,0.6429667399811303,0.6397736690174441,0.4594243975168278,0.3153010053224757,0.4160080442458001,0.47976678568566394,0.4006876350145337,0.4482858211334093,0.5565846342968662,0.28390885856746256,0.29508317607025375,0.45440024463883394,0.42008043336976963,0.3659633089889862,0.6010467612945393,0.38793910791126746,0.10459673525531699,0.603374593020066,0.4529640595506515,0.4109781109498214,0.3584235030543699,0.1205879748868108,0.22437542451128506,0.23029130223222893,0.5589612121345816,0.6605186860563231,0.4268408686511812,0.5163307777721634,0.5757480526878445,0.3474990575487479,0.5689765747783888,0.24120748653427518,0.4455668356915424,0.4335429885009356,0.3692711514033663,0.39744258073314553,0.32568426654135,0.5498359020808263,0.37091860531224824,0.42846904808007696,0.3314972295502429,0.6154638501708447,0.45760010375321775,0.5749358863604536,0.55430759417629,0.4433630020501868,0.22993809778949703,0.6280855733388218,0.3343492298124674,0.15338457087457472,0.6038687938410139
TCGA-R8-A6MO-01,0.629674982166107,0.44495832762267173,0.17267531044700965,0.24757848429788612,0.3510376790654046,0.3225844423552123,0.4742515224426073,0.4880469337259416,0.3842376855022043,0.3600990594099455,0.17318119564760037,0.12084794107651681,0.38541469850017046,0.4007579095627278,0.32554051248347954,0.1768145759477325,0.2624705706723772,0.3144096530921543,0.2339346391490486,0.2583385931156148,0.6108528055787004,0.48462890243888584,0.4901230560344201,0.39891119393903984,0.31655186626060394,0.3742198138318204,0.482474889613389,0.5722794800054996,0.23556960448169034,0.28756443501297885,0.4916455240058665,0.655622172608741,0.5795588766084769,0.26341824453336093,0.3479959583813644,0.3852468588778438,0.2563673479862502,0.36547976510292074,0.6032629017024245,0.5159222601706697,0.24154727941527995,0.3430362123809112,0.3681415111806306,0.25269121270215916,0.6506369280442834,0.6308589927045936,0.458426661294312,0.27366046577677927,0.4258319616983565,0.4298920411568265,0.42898764724180305,0.39761202749902347,0.5744791901872675,0.24386825093183057,0.3213119474249558,0.46478693358017387,0.35602808883929415,0.31814462648718345,0.6041783850243638,0.3359466630022846,0.07705965873380088,0.6103348733943763,0.40176046906248825,0.3624002820988983,0.30836441509797463,0.08705338148719098,0.17577412103000906,0.1837904826726332,0.5043114336453999,0.6625476904234535,0.4347120196413813,0.5417211367287043,0.5695218193576642,0.27919729312044067,0.596165094908876,0.19980368604023413,0.44966400564164904,0.4589963789912101,0.2861234213484178,0.35142332701446966,0.28147538833557256,0.5565343156445695,0.3744057921060292,0.45222585931425724,0.2927527525066432,0.6051950669960809,0.4109316020759988,0.5724790999847571,0.5559736958409165,0.4636147063340975,0.18327048921335545,0.6393526077093483,0.2949313650471765,0.1074259591578418,0.6156532964021965
